藥品代碼,商品名,成份,ATC_CODE1,抗生素
ABI02O,Abilify,aripiprazole,N05AX12,N
ABI03O,ABILIFY,aripiprazole,N05AX12,N
ABI04I,Abilify,aripiprazole,N05AX12,N
ABI04O,Abiratred,abiraterone acetate,L02BX03,N
ACA01O,Acarose,acarbose,A10BF01,N
ACA02O,A-Cal,calcium carbonate 500mg,A02AC01,N
ACD01I,ACD,"sodium citrate, citric acid",B05CB02,N
ACE01I,Acemycin,amikacin sulfate,J01GB06,Y
ACE02I,Acetamol,propacetamol,N02BE05,N
ACE04O,Acemet,acemetacin,M01AB11,N
ACE05O,Acetazolamide,acetazolamide,S01EC01,N
ACL01E,Aclovir,acyclovir,D06BB03,N
ACL01I,Aclasta,zoledronic acid,M05BA08,N
ACT01I,Actemra,tocilizumab,L04AC07,N
ACT01O,Actos,pioglitazone hydrochloride,A10BG03,N
ACT02I,Actilyse,recombinant human tissue-type plasminoge,B01AD02,N
ACT02O,ACTEIN,acetylcysteine,R05CB01,N
ACT03I,Actrapid,human insulin (regular),A10AB01,N
ACT06O,Actein,acetylcysteine,R05CB01,N
ACT07I,Actemra,tocilizumab,L04AC07,N
ACT08I,ACTEMRA,tocilizumab,L04AC07,N
ACY02O,Acylo,acyclovir,J05AB01,Y
ACZ01E,Aczo,benzoyl peroxide 5%,D10AE01,N
ADE01I,Adenocor,adenosine,C01EB10,N
ADE01O,Adempas,riociguat,C02KX05,N
ADE02O,ADEMPAS,riociguat,C02KX05,N
ADR02I,Adrenalin,epinephrine,C01CA24,N
ADV01O,Advagraf,tacrolimus,L04AD02,N
ADV02O,ADVAGRAF,tacrolimus,L04AD02,N
ADV03O,ADVAGRAF,tacrolimus,L04AD02,N
AET02I,Aethoxysklerol,polidocanol,C05BB02,N
AFI01O,Afinitor,everolimus,L01EG02,N
AGG01I,Aggrastat,tirofiban hcl,B01AC17,N
AGG02I,Agglutex,heparin sodium,B01AB01,N
AGR01O,Agrylin,anagrelide (hcl),L01XX35,N
AJO01I,Ajovy,fremanezumab,N02CD03,N
AKU01O,AKuriT-3,"ethambutol hcl,isoniazid,rifamycin",J04AC51,N
AKU02O,AKuriT-4,"ethambutol,isoniazid,pyrazinamide,rifamp",J04AM06,N
AKY01O,Akynzeo,"netupitant,palonosetron",A04AA55,N
ALC02E,Alcos-Anal,sod. oleate,C05AX03,N
ALC03E,Alcaine,proparacaine,S01HA04,N
ALC04E,Alcos-Anal,sod. oleate,C05AX03,N
ALC16E,Alcohol,alcohol,D08AX08,N
ALC17E,Alcohol,alcohol,D08AX08,N
ALC19E,Alcohol,alcohol,,N
ALD03E,Aldara,imiquimod,D06BB10,N
ALE01I,Aleviatin,phenytoin sodium,N03AB02,N
ALE01O,Alecensa,alectinib hcl,L01ED03,N
ALF01O,Alfacalcidol,alfacalcidol,A11CC03,N
ALF03I,Alfentanil,alfentanil hcl,N01AH02,N
ALG01O,Algitab,"alginic acid, mgco3, al(oh)3, etc",A02AX,N
ALG01S,Alginos,"alginate sodium,calcium carbonate,sodium",A02AX,N
ALG02O,Acamprosate,acamprosate calcium,N07BB03,N
ALI01O,Alinamin-F,"thiamine, riboflavin",A11JA,N
ALK01O,Alkeran,melphalan,L01AA03,N
ALL01S,All-Right,"calcium phosphate tribasic,vit a,vit d3",A12AX,N
ALL02O,Allegra,fexofenadine hcl,R06AX26,N
ALO01I,Aloxi,palonosetron,A04AA05,N
ALP02E,Alphagan,brimonidine tartrate,S01EA05,N
ALU02O,Aluminum,al(oh)3,A02AB01,N
ALV01I,Alvosteo,teriparatide,H05AA02,N
AMA02O,Amaryl,glimepiride,A10BB12,N
AMA03O,AMARYL,"glimepiride,metformin hcl",A10BD02,N
AMB01I,Ambisome,(amphotericin b) liposome,J02AA01,Y
AMI01O,Amizide,"hydrochlorothiazide, amiloride hcl",C03EA01,N
AMI12I,Aminopoly-H,amino acids,B05BA01,N
AMI13I,Aminosteril,amino acids,B05BA01,N
AMO01I,AmoClav,amoxicillin+clavulanate,J01CR02,Y
AMO01O,Amoxicillin,amoxicillin,J01CA04,Y
AMO05S,Amoxycillin,amoxicillin,J01CA04,Y
AMP01O,Ampicillin,ampicillin,J01CA01,Y
AMP02I,Ampholipad,(amphotericin b) liposome,J02AA01,Y
AMP03I,Ampolin,ampicillin,J01CA01,Y
AMT01O,Amtrel,"amlodipine 5mg ,benazepril 10mg",C09BB,N
AND01O,Androcur,cyproterone acetate,G03HA01,N
ANE03I,Anexate,flumazenil,V03AB25,N
ANG02I,Angidil,isosorbide dinitrate,C01DA08,N
ANO01E,Anoro,"umeclidinium,vilanterol",R03AL03,N
ANP01I,Anpo,ritodrine hcl,G02CA01,N
ANP01O,Anpo,ritodrine hcl,G02CA01,N
ANT01I,Antifect,cefepime,J01DE01,Y
ANT02E,Antigerm,chlorhexidine gluconate,D08AC02,N
ANT03I,Antivenin,antivenin,J06AA03,N
ANT04E,Antol,atropine sulfate,S01FA01,N
ANT06I,Antivenin,antivenin,J06AA03,N
ANT06O,Antibiophilus,lactobacillus casei rhamnosus,A07FA01,N
ANT07I,Antivenin,antivenin,J06AA03,N
ANT09S,Anti-Phen,acetaminophen,N02BE01,N
ANX01I,Anxicam,lorazepam,N05BA06,N
API01I,Apidra,insulin glulisine,A10AB06,N
APO01O,Apo-Atomoxetine,atomoxetine,N06BA09,N
APO04O,APO-ATOMOXETINE,atomoxetine,N06BA09,N
APR06O,Aprezin,hydralazine,C02DB02,N
AQU02E,Aqua,chlorhexidine gluconate,D08AC02,N
ARA01O,Arax,hydroxyzine,N05BB01,N
ARE02I,RSV,rsv antigen,J07BX05,N
ARH01O,Arheuma,leflunomide,L04AA13,N
ARI02O,Arimidex,anastrozole,L02BG03,N
ARI03O,Aricept,donepezil hcl,N06DA02,N
ARO01O,Aromasin,exemestane,L02BG06,N
ART01E,Artiss,"human thrombin, calcium chloride, aproti",B02AB01,N
ART02E,Artelac,methylhydroxypropyl cellulose,S01XA20,N
ASA01E,Asacol,mesalazine,A07EC02,N
ASA03O,Asacol,mesalazine,A07EC02,N
ASC01O,Ascofen,aceclofenac,M01AB16,N
ASI01I,Asiphylline,aminophylline,R03DA05,N
ASP05O,Aspirin(強生),aspirin (acetylsalicylic acid),N02BA01,N
ATA02O,Atanaal,nifedipine,C08CA05,N
ATH01S,Athmin,ketotifen,R06AX17,N
ATI01O,Ativan,lorazepam,N05BA06,N
ATO02O,ATOZET,"ezetimibe,atorvastatin",C10BA05,N
ATR01I,Atropine,atropine sulfate,A03BA01,N
ATR05E,Atropine,atropine sulfate,S01FA01,N
AUB01O,Aubagio,teriflunomide,L04AA31,N
AUG04S,Augmentin,amoxicillin+clavulanate,J01CR02,Y
AVA01E,Avamys,fluticasone furoate,R01AD12,N
AVE01I,Avelox,moxifloxacin (hcl),J01MA14,Y
AVE01O,Avelox,moxifloxacin (hcl),J01MA14,Y
AVO01O,Avodart,dutasteride,G04CB02,N
AZA01E,Azarga,"brinzolamide, timolol maleate",S01ED51,N
AZE01E,Azetin,azelastine hcl,R01AC03,N
AZO03E,Azopt,brinzolamide,S01EC04,N
BAI01I,Bain,nalbuphine hydrochloride,N02AF02,N
BAK01O,Baktar,"sulfamethoxazole,trimethoprim",J01EE01,Y
BAR02O,Baraclude,entecavir,J05AF10,N
BAR03O,BARACLUDE,entecavir,J05AF10,N
BEE01O,Beesix,pyridoxine hcl,A11HA02,N
BEF01O,Befon,baclofen,M03BX01,N
BEN02I,Benlysta,belimumab,L04AA26,N
BEN03I,BENLYSTA,belimumab,L04AA26,N
BEO01I,Beovu,brolucizumab,S01LA06,N
BEO02I,Beovu,brolucizumab,S01LA06,N
BER01I,Beriplex,"factor ii、vii、ix、x, protein c, protei",B02BD01,N
BER05E,BeroDUAL,"fenoterol hydrobromide,ipratropium bromi",R03AL01,N
BES02I,Besremi,ropeginterferon alfa-2b,L03AB15,N
BET01O,Betmiga,mirabegron,G04BD12,N
BET02O,BETMIGA,mirabegron,G04BD12,N
BET07O,BETALOC,metoprolol,C07AB02,N
BET14E,Betadine,povidone-iodine,R02AA15,N
BEV01E,Bevespi,"formoterol fumarate dihydrate,glycopyrro",R03AL07,N
BEX01I,Bexsero,recombinant neisseria meningitidis group,J07AH09,N
BEY01I,Beyfortus,nirsevimab,J06BD08,N
BEY02I,BEYFORTUS,nirsevimab,J06BD08,N
BFL01I,Bfluid,"amino acids, glucose, electrolytes",B05BA10,N
BIC03I,Bicillin,benzathine benzylpenicillin,J01CE08,Y
BIN01O,Binin-U,haloperidol,N05AD01,N
BIO01E,Biodyne,povidone-iodine,D08AG02,N
BIO02O,Bio-Cal,"cholecalciferol,tribasic calcium phospha",A12AA01,N
BIO03O,Bioflor,saccharomyces boulardii cncm i-745,A07FA01,N
BIO06O,Biofermin-R,antibiotics-resistant lactic acid bacter,A07FA01,N
BIP01O,Biperin,biperiden hcl,N04AA02,N
BIP02I,Bipiden,biperiden lactate,N04AA02,N
BIS01O,Bismuth,bismuth,A07BB,N
BIS02E,Bisadyl,bisacodyl,A06AB02,N
BIS03S,Bisolvon,bromhexine,R05CB02,N
BIS04O,Bisacodyl,bisacodyl,A06AB02,N
BLO01O,Blopress,candesartan cilexetil,C09CA06,N
BLO02O,Bloodfull,"fe fumarate,folic acid,b1,b2,b12,nicotin",B03AE02,N
BLO03O,BLOPRESS,"candesartan cilexetil,hydrochlorothiazid",C09DA06,N
BOB01I,Bobimixyn,polymyxin b sulfate,J01XB02,Y
BOK01O,Bokey,aspirin (acetylsalicylic acid),B01AC06,N
BOO01I,Boostrix,"diphtheria toxoid,pertussis toxoid,tetan",J07AJ52,N
BOT01I,Botox,clostridium botulinum toxin type a,M03AX01,N
BOT04I,Botox,clostridium botulinum toxin type a,M03AX01,N
BOW01O,Bowklean,"magnesium oxide, picosulfate sodium, cit",A06AB58,N
BRA01O,Braftovi,encorafenib,L01EC03,N
BRE01E,Breztri,"budesonide micronized,formoterol fumarat",R03AL11,N
BRI01O,BRILINTA,ticagrelor,B01AC24,N
BRI02O,Brintellix,vortioxetine hydrobromide,N06AX26,N
BRI03O,Briviact,brivaracetam,N03AX23,N
BRO02I,Brosym,"cefoperazone,sulbactam",J01DD62,Y
BRO02O,Broen-C,"l-cysteine, bromelain",D03BA03,N
BRO07S,Brown,compound glycyrrhiza mixture(with opium),R05FA02,N
BRU01O,Brukinsa,zanubrutinib,L01EL03,N
BUP01O,Bupion,bupropion hcl,N06AX12,N
BUR01I,Burinex,bumetanide,C03CA02,N
BUS01I,Buscopan,hyoscine-n-butylbromide,A03BB01,N
BUS03O,Busix,bumetanide,C03CA02,N
CAB01O,Cabometyx,cabozantinib,L01EX07,N
CAD02O,CADUET,"amlodipine,atorvastatin",C10BX03,N
CAL01E,Calmsit,"betamethasone,lidocaine,phenylephrine",C05AA05,N
CAL10I,Calcitonin,salmon calcitonin,H05BA01,N
CAL10O,Calquence,acalabrutinib,L01EL02,N
CAM05O,Camisan,terbinafine,D01BA02,Y
